ID	Forename
66	Ayşe
634	Ayşegül
677	Aydın
940	Alžbeta
1116	Ágneša
1141	Ákoš
1168	Ájša
1183	Áňa
1328	Ágneš
1335	Ágošton
1637	Ávńáś
1638	Ávńð
1639	Ávŷá
1651	Áčová
1652	Áğáv
1653	Áńju
1654	Áńáńd
1655	Áŕmááń
1656	Áźár
1681	Åžtefan
1722	Åžtefania
1741	Åbđøu
1815	Åžtefana
1867	Åmĭŗ
2011	Åvē
2013	Å×È×Ìèì
2015	Åámíŗ
2025	Åæžæž
2034	Åÿæƒ
2035	Åžerban
2036	Åžtefan-Cosmin
2037	Åžtefan-Dragoåž
2038	Åžtefan-Lucian
2039	Åžtefan-Octavian-Victor
2040	Åžtefan-Vläduå
2041	Åžtefänel
2042	Åžtefäniåä
2149	Âlê×Ånðë
2161	Âmől
2227	Â¿Â¿Â¿Â¿
2238	Âúñè×Ìèì
2242	Âüñè×Ìèì
2473	Äyèšhã
2474	Äyǿùb
2505	Äħméď
2506	Äńdrèz
2511	Àœàààà
2513	Àààœàààà
2514	Àààœààà
2515	Àààœà
2516	Àààœàà
2517	Àààœààààà
2518	Ààœàà
2519	Àœààà
2520	Àààœàààààà
2521	Àààšààà
2522	Àœààààà
2523	Àšàààààà
2524	Àààšà
2525	Àœààààààà
2526	Àšààà
2528	Ààœà
2529	Àšààààà
2530	Àšààààààà
2536	Àœàààààà
2541	Ààœààà
2542	Ààœààààà
2543	Ààœàààààà
2544	Àšàààà
2557	Ààœàààà
2558	Ààœàààâàà
2559	Ààšàààà
2562	Àœàààààâàà
2563	Àœààâàà
2564	Àšàààààààà
2565	Àšàààààààààà
2788	Àààœàààâààà
2789	Àààœàààâàààààààà
2790	Àààœàààâààààààààà
2791	Àààœàâàœà
2792	Àààšàà
2793	Àààšàâàšà
2794	Àààƒàààà
2795	Ààœààààâàà
2796	Ààœàààœ
2797	Ààœàâààâàà
2798	Ààšàà
2799	Ààšààà
2800	Ààšàààààà
2801	Ààšàâààààà
2802	Ààƒààààà
2803	Ààƒààâàà
2804	Àíıñkyâ
2808	Àœàà
2809	Àœàààààààà
2810	Àœàààààâààà
2811	Àœàààâàà
2812	Àœàààâààà
2813	Àœààâàààà
2814	Àœààâààœà
2815	Àşàbí
2816	Àšààààâààà
2817	Àšààâàà
2818	Àšààâààààà
2819	Àšààâààààààà
2820	Àšààâààààààààà
2821	Àšààÿààààà
2822	Àšààšà
2823	Àšàœà
2830	Æž
2865	Æyşnur
2866	Æ×Þíèíìèì
2868	Æäá×Ý
2872	Æï×Ûø
2873	Æïè×Ìèì
2874	Æïè×Þ
2887	Æü×Ìèì
2907	Ælfgȳð
2918	Ælfwīg
2983	Ãhḿęd
3052	Ãlƒønø
3144	Ãzżedîne
3153	Ãłhëęr
3154	Ãžssa
3155	Ãƒâng
3156	Ãƒâorazlin
3469	Büşra
3588	Bariş
3700	Božena
3790	Bartłomiej
4027	Božidar
4073	Bożena
5073	Coşkun
5157	Çiğdem
5160	Çağlar
5161	Çağla
5162	Çağri
5164	Çağdaş
5165	Çağatay
5175	Çağlayan
5176	Çeşminaz
5186	Çavuş
5187	Çağan
5195	Çağkan
5201	Çavreş
5210	Çağtay
5212	Çağrihan
5214	Çağlanur
5215	Çiçeği
5219	Çağliyan
5240	Çucı
5247	Çeşmi
5252	Çeşme
5257	Çağil
5258	Çağin
5268	Çiğse
5273	Çeşminur
5279	Çağman
5283	Çağlasu
5288	Çoşqun
5295	Çiğden
5298	Çağakan
5304	Çeşmenaz
5308	Çağrıbey
5332	Çağın
5349	Çeşmiye
5354	Çiğ
5366	Çağrı
5384	Çinğiz
5394	Çağiltay
5415	Çavraş
5416	Çağlacan
5417	Çağnur
5423	Çeşmagül
5424	Çeşmixanim
5429	Çoşkun
5436	Çallı
5444	Çağlan
5445	Çaşmi
5458	Çeşmaxanim
5474	Çolakoğlu
5478	Çalişkan
5485	Çağlam
5486	Çağlanaz
5487	Çağsen
5502	Çeşminas
5514	Çiğdemnur
5521	Çınar
5526	Çakıl
5545	Çağda
5546	Çağdan
5547	Çağli
5548	Çağre
5549	Çağrinur
5581	Çeşimnaz
5582	Çeşmaafat
5583	Çeşmen
5584	Çeşmiyar
5632	Çiğir
5633	Çiğsenur
5641	Çovğun
5642	Çoşğun
5651	Çümşüd
5652	Çılga
5653	Çılgın
5654	Çınla
5655	Çığır
5690	Çakiroğlu
5693	Çakrazlılar
5696	Çakırlar
5713	Çaloğlan
5715	Çalı
5716	Çalış
5717	Çalışır
5724	Çamaş
5729	Çamlıca
5736	Çamşid
5748	Çankırı-Çerkes-Özkay
5749	Çankırılı
